,28
ts_code,600519.SH
ann_date,20140325
f_ann_date,20140325
end_date,20131231
report_type,1
comp_type,1
total_share,1038180000.0
cap_rese,1374964415.72
undistr_porfit,35974971858.64
surplus_rese,4220803927.18
special_rese,
money_cap,25185009331.68
trad_asset,
notes_receiv,296084005.0
accounts_receiv,927222.79
oth_receiv,119574188.82
prepayment,4304579299.68
div_receiv,
int_receiv,188599147.23
inventories,11836810239.03
amor_exp,
nca_within_1y,
sett_rsrv,
loanto_oth_bank_fi,
premium_receiv,
reinsur_receiv,
reinsur_res_receiv,
pur_resale_fa,
oth_cur_assets,
total_cur_assets,41931583434.23
fa_avail_for_sale,
htm_invest,50000000.0
lt_eqt_invest,4000000.0
invest_real_estate,
time_deposits,
oth_assets,
lt_rec,
fix_assets,8523256960.11
cip,456328292.13
const_materials,1725110.46
fixed_assets_disp,
produc_bio_assets,
oil_and_gas_assets,
intan_assets,3563308110.51
r_and_d,
goodwill,
lt_amor_exp,8048744.96
defer_tax_assets,825372524.65
decr_in_disbur,90527500.0
oth_nca,
total_nca,13522567242.82
cash_reser_cb,
depos_in_oth_bfi,
prec_metals,
deriv_assets,
rr_reins_une_prem,
rr_reins_outstd_cla,
rr_reins_lins_liab,
rr_reins_lthins_liab,
refund_depos,
ph_pledge_loans,
refund_cap_depos,
indep_acct_assets,
client_depos,
client_prov,
transac_seat_fee,
invest_as_receiv,
total_assets,55454150677.05
lt_borr,
st_borr,
cb_borr,
depos_ib_deposits,2773189099.54
loan_oth_bank,
trading_fl,
notes_payable,
acct_payable,284748288.89
adv_receipts,3045113586.1
sold_for_repur_fa,
comm_payable,
payroll_payable,260284491.74
taxes_payable,3311880890.49
int_payable,27383888.89
div_payable,
oth_payable,1604688158.14
acc_exp,
deferred_inc,
st_bonds_payable,
payable_to_reinsurer,
rsrv_insur_cont,
acting_trading_sec,
acting_uw_sec,
non_cur_liab_due_1y,
oth_cur_liab,
total_cur_liab,11307288403.79
bond_payable,
lt_payable,
specific_payables,17770000.0
estimated_liab,
defer_tax_liab,
defer_inc_non_cur_liab,
oth_ncl,
total_ncl,17770000.0
depos_oth_bfi,
deriv_liab,
depos,
agency_bus_liab,
oth_liab,
prem_receiv_adva,
depos_received,
ph_invest,
reser_une_prem,
reser_outstd_claims,
reser_lins_liab,
reser_lthins_liab,
indept_acc_liab,
pledge_borr,
indem_payable,
policy_div_payable,
total_liab,11325058403.79
treasury_share,
ordin_risk_reser,13296286.27
forex_differ,
invest_loss_unconf,
minority_int,1506875785.45
total_hldr_eqy_exc_min_int,42622216487.81
total_hldr_eqy_inc_min_int,44129092273.26
total_liab_hldr_eqy,55454150677.05
lt_payroll_payable,
oth_comp_income,
oth_eqt_tools,
oth_eqt_tools_p_shr,
lending_funds,
acc_receivable,
st_fin_payable,
payables,
hfs_assets,
hfs_sales,
sumv,386672178953.9
