,0
index,0
流动资产,
货币资金,15774.377585238912
交易性金融资产,0.0
衍生金融资产,0.0
应收票据及应收账款,0.0
应收票据,0.0
应收账款,2.8356836723999996
应收款项融资,0.0
预付款项,19.9536564684
其他应收款(合计),0.0
应收利息,52.9807445424
应收股利,0.0
其他应收款,15.349957984
买入返售金融资产,0.0
存货,1395.8608472328
划分为持有待售的资产,0.0
一年内到期的非流动资产,0.0
待摊费用,0.0
待处理流动资产损益,0.0
其他流动资产,5879.6583377744
流动资产合计,0.0
非流动资产,
发放贷款及垫款,0.0
可供出售金融资产,0.1
持有至到期投资,0.0
长期应收款,0.0
长期股权投资,0.0
投资性房地产,6.12851063
在建工程(合计),0.0
在建工程,292.6710467516
工程物资,0.0
固定资产及清理(合计),0.0
固定资产净额,4344.7849344196
固定资产清理,0.0
生产性生物资产,0.0
公益性生物资产,0.0
油气资产,0.0
使用权资产,0.0
无形资产,166.53725949159997
开发支出,0.0
商誉,32.26830351
长期待摊费用,0.0
递延所得税资产,144.61488552
其他非流动资产,11.542639
非流动资产合计,0.0
资产总计,28139.66439223611
流动负债,
短期借款,686.747679482633
交易性金融负债,0.0
应付票据及应付账款,0.0
应付票据,78.04938576999999
应付账款,785.9647796084
预收款项,3754.6799039771995
应付手续费及佣金,0.0
应付职工薪酬,556.8140677376
应交税费,665.2045990148
其他应付款(合计),0.0
应付利息,0.0
应付股利,0.0
其他应付款,1236.5996357384
预提费用,0.0
一年内的递延收益,0.0
应付短期债券,0.0
一年内到期的非流动负债,0.0
其他流动负债,31.886246448399998
流动负债合计,0.0
非流动负债,
长期借款,0.0
应付债券,0.0
租赁负债,0.0
长期应付职工薪酬,0.0
长期应付款(合计),0.0
长期应付款,0.0
专项应付款,0.0
预计非流动负债,0.0
递延所得税负债,0.0
长期递延收益,107.74321429
其他非流动负债,0.0
非流动负债合计,0.0
负债合计,7903.689512067433
所有者权益,
实收资本(或股本),4224.904062749385
资本公积,1330.66131139
减：库存股,0.0
其他综合收益,0.0
专项储备,0.0
盈余公积,1856.3220999619293
一般风险准备,0.0
未分配利润,12824.087406067361
归属于母公司股东权益合计,13875.13198249
少数股东权益,12.69415802
所有者权益(或股东权益)合计,20235.974880168676
负债和所有者权益(或股东权益)总计,0.0
code,
date,
code_date,
